"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","playerid"
"Justin Verlander","- - -","244","133","0","482","482","3163.0","9.10","2.50","0.92",".278","75.4%","38.0%","8.9%","94.9","3.24","","3.36","3.69","78.1","8700"
"Clayton Kershaw","LAD","197","87","0","401","398","2581.0","9.79","2.19","0.72",".270","79.1%","46.7%","9.4%","93.3","2.48","","2.76","2.97","73.4","2036"
"Max Scherzer","- - -","201","102","0","430","421","2682.0","10.71","2.35","1.01",".288","77.5%","36.8%","10.3%","94.3","3.11","","3.10","3.28","70.3","3137"
"CC Sabathia","- - -","251","161","0","561","560","3577.1","7.78","2.76","0.96",".294","73.4%","45.6%","10.7%","93.8","3.74","","3.78","3.79","66.5","404"
"Zack Greinke","- - -","223","141","1","556","514","3247.0","7.99","2.05","0.95",".293","74.9%","43.9%","10.4%","91.9","3.42","","3.47","3.59","65.5","1943"
"Roy Halladay","- - -","194","98","0","378","370","2586.0","7.04","1.78","0.75",".293","72.8%","54.1%","10.3%","88.7","3.36","","3.28","3.23","64.5","1303"
"Felix Hernandez","SEA","169","136","0","419","418","2729.2","8.32","2.65","0.87",".293","74.0%","53.3%","12.1%","93.5","3.42","","3.52","3.40","54.0","4772"
"Randy Johnson","- - -","143","78","0","287","281","1885.1","10.42","2.31","1.01",".298","73.9%","43.2%","12.0%","91.2","3.34","","3.13","3.23","52.9","60"
"Roy Oswalt","- - -","163","102","0","365","341","2245.1","7.42","2.08","0.79",".301","75.4%","47.1%","9.1%","93.1","3.36","","3.37","3.57","52.6","571"
"Mark Buehrle","- - -","214","160","0","518","493","3283.1","5.13","2.01","0.99",".292","72.6%","45.3%","9.7%","85.8","3.81","","4.11","4.21","52.3","225"
"Cole Hamels","- - -","163","122","0","423","422","2698.0","8.54","2.56","1.03",".287","76.6%","44.9%","11.8%","92.2","3.43","","3.68","3.59","51.6","4972"
"Javier Vazquez","- - -","151","137","0","391","385","2513.0","8.18","2.30","1.15",".294","71.8%","38.6%","11.1%","91.7","4.04","","3.78","3.75","51.0","801"
"Cliff Lee","- - -","143","91","0","328","324","2156.2","7.61","1.94","0.93",".298","73.6%","40.7%","8.8%","91.3","3.52","","3.45","3.69","48.2","1636"
"Adam Wainwright","STL","195","117","3","457","390","2567.1","7.53","2.44","0.75",".295","74.9%","47.7%","9.2%","90.4","3.38","","3.45","3.69","47.8","2233"
"Andy Pettitte","- - -","175","107","0","366","363","2271.2","6.89","2.60","0.80",".309","71.3%","48.5%","9.9%","89.5","3.82","","3.64","3.70","47.3","840"
"Jon Lester","- - -","200","117","0","452","451","2740.0","8.17","2.93","0.97",".300","74.7%","45.9%","11.1%","92.6","3.66","","3.78","3.82","46.2","4930"
"Johan Santana","- - -","139","78","1","360","284","2025.2","8.83","2.52","0.98",".276","77.0%","37.1%","9.3%","90.9","3.20","","3.44","3.50","45.6","755"
"Chris Sale","- - -","114","75","12","323","243","1678.0","11.07","2.08","0.95",".295","77.4%","43.3%","12.0%","94.6","3.03","","2.92","2.92","45.4","10603"
"Tim Hudson","- - -","211","131","0","461","458","2990.1","5.86","2.57","0.72",".280","73.3%","58.0%","10.4%","90.4","3.50","","3.80","3.78","45.2","921"
"Pedro Martinez","- - -","112","50","0","227","227","1468.0","9.93","2.15","0.81",".279","75.7%","38.8%","8.9%","88.9","3.01","","2.92","3.45","45.0","200"
"Jake Peavy","- - -","152","126","0","388","377","2377.0","8.36","2.68","0.98",".285","74.6%","39.7%","9.5%","91.5","3.63","","3.65","3.81","43.7","1051"
"John Lackey","- - -","188","147","0","448","446","2840.1","7.27","2.58","1.01",".300","73.2%","43.5%","10.4%","92.0","3.92","","3.94","3.99","43.2","1507"
"David Price","- - -","157","82","3","400","322","2143.2","8.72","2.36","0.93",".290","75.3%","44.0%","10.3%","94.7","3.32","","3.39","3.50","42.5","3184"
"Bartolo Colon","- - -","211","167","0","483","472","2958.2","6.54","2.28","1.18",".296","72.5%","41.7%","11.0%","91.7","4.11","","4.15","4.19","42.1","375"
"A.J. Burnett","- - -","160","155","0","428","423","2690.0","8.30","3.60","0.87",".295","71.8%","50.6%","11.2%","94.2","3.99","","3.86","3.67","41.9","512"
"Curt Schilling","- - -","117","63","9","243","221","1569.1","8.86","1.47","1.11",".304","76.4%","39.6%","10.5%","88.7","3.54","","3.24","3.18","41.8","73"
"Jacob deGrom","NYM","82","57","0","209","209","1326.0","10.91","2.06","0.79",".285","79.4%","44.8%","10.8%","96.4","2.52","","2.62","2.84","41.1","10954"
